,Dataset,threshold,max n-ary,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,CHUNK_FILES,SORT_FILES,MERGE_FILES,time,TOTAL_FILES
0,TPCH_1,1.0,2,5000000,3000000,500,1000000,29,95,14,238560,138
1,TPCH_1,1.0,2,10000000,3000000,500,1000000,18,74,14,252524,106
2,TPCH_1,1.0,2,15000000,3000000,500,1000000,14,67,14,244144,95
3,TPCH_1,1.0,2,20000000,3000000,500,1000000,12,63,14,238931,89
4,TPCH_1,1.0,2,30000000,3000000,500,1000000,11,64,14,278470,89
5,TPCH_1,1.0,2,50000000,3000000,500,1000000,9,60,14,306026,83
6,TPCH_1,1.0,1,5000000,3000000,500,1000000,29,29,8,46124,66
7,TPCH_1,1.0,1,10000000,3000000,500,1000000,18,19,8,50675,45
8,TPCH_1,1.0,1,15000000,3000000,500,1000000,14,15,8,43632,37
9,TPCH_1,1.0,1,20000000,3000000,500,1000000,12,13,8,57746,33
10,TPCH_1,1.0,1,30000000,3000000,500,1000000,11,15,8,60133,34
11,TPCH_1,1.0,1,50000000,3000000,500,1000000,9,12,8,63583,29
12,data.gov,1.0,2,5000000,3000000,500,1000000,42,79,29,40754,150
13,data.gov,1.0,2,10000000,3000000,500,1000000,28,51,29,46989,108
14,data.gov,1.0,2,15000000,3000000,500,1000000,23,41,29,44622,93
15,data.gov,1.0,2,20000000,3000000,500,1000000,21,37,29,48485,87
16,data.gov,1.0,2,30000000,3000000,500,1000000,19,33,29,57149,81
17,data.gov,1.0,2,50000000,3000000,500,1000000,18,32,29,67077,79
18,data.gov,1.0,3,5000000,3000000,500,1000000,42,110,35,116379,187
19,data.gov,1.0,3,10000000,3000000,500,1000000,28,69,35,130907,132
20,data.gov,1.0,3,15000000,3000000,500,1000000,23,55,35,153060,113
21,data.gov,1.0,3,20000000,3000000,500,1000000,21,49,35,164415,105
22,data.gov,1.0,3,30000000,3000000,500,1000000,19,43,35,197975,97
23,data.gov,1.0,3,50000000,3000000,500,1000000,18,42,35,234701,95
24,data.gov,1.0,1,5000000,3000000,500,1000000,42,42,17,27453,101
25,data.gov,1.0,1,10000000,3000000,500,1000000,28,28,17,34858,73
26,data.gov,1.0,1,15000000,3000000,500,1000000,23,23,17,28037,63
27,data.gov,1.0,1,20000000,3000000,500,1000000,21,21,17,37512,59
28,data.gov,1.0,1,30000000,3000000,500,1000000,19,19,17,33439,55
29,data.gov,1.0,1,50000000,3000000,500,1000000,18,19,17,37464,54
30,musicbrainz,1.0,1,5000000,3000000,500,1000000,483,501,171,855221,1155
31,musicbrainz,1.0,1,10000000,3000000,500,1000000,319,449,171,948784,939
32,musicbrainz,1.0,1,15000000,3000000,500,1000000,262,372,171,898602,805
33,musicbrainz,1.0,1,20000000,3000000,500,1000000,237,385,171,937211,793
34,musicbrainz,1.0,1,30000000,3000000,500,1000000,211,362,171,938529,744
35,musicbrainz,1.0,1,50000000,3000000,500,1000000,193,353,171,926708,717
36,TPCH_1,1.0,2,1000000,3000000,500,1000000,122,242,14,215282,378
37,TPCH_1,1.0,2,2500000,3000000,500,1000000,52,140,14,248657,206
38,TPCH_1,1.0,1,1000000,3000000,500,1000000,122,122,8,51668,252
39,TPCH_1,1.0,1,2500000,3000000,500,1000000,52,52,8,46870,112
40,data.gov,1.0,2,1000000,3000000,500,1000000,156,307,29,45973,492
41,data.gov,1.0,2,2500000,3000000,500,1000000,71,137,29,43586,237
42,data.gov,1.0,3,1000000,3000000,500,1000000,156,431,35,120652,622
43,data.gov,1.0,3,2500000,3000000,500,1000000,71,192,35,118832,298
44,data.gov,1.0,1,1000000,3000000,500,1000000,156,156,17,29923,329
45,data.gov,1.0,1,2500000,3000000,500,1000000,71,71,17,29231,159
46,musicbrainz,1.0,1,1000000,3000000,500,1000000,1825,1825,173,844044,3823
47,musicbrainz,1.0,1,2500000,3000000,500,1000000,813,813,171,803983,1797
