iter,MERGE_SIZE,SORT_SIZE,VALIDATION_SIZE,time
0,418,2884095,115,44.846
1,304,595556,92340,38.677
2,188,1388787,396768,42.216
3,540,1682586,685220,43.218
4,206,3513689,27389,40.393
5,671,1675046,558690,42.113
6,142,800425,800745,39.396
7,968,1260562,692323,42.836
8,877,3579481,85045,38.684
9,41,687623,878143,41.785
10,377,3161615,774447,42.715
11,533,3151662,174901,39.872
12,431,3582077,193058,39.475
13,229,630804,947304,40.359
14,200,3586106,91189,44.231
15,471,1699736,471913,42.323
16,956,2659645,470721,42.87
17,490,3366303,979068,43.5
18,324,3056506,856962,43.275
19,855,2880215,911971,39.921
20,678,2196165,383210,41.132
21,142,566124,316833,40.814
22,275,3059750,66871,41.618
23,939,3800297,279132,42.401
24,599,459681,116778,42.604
25,614,2233994,653607,42.551
26,19,1040844,800585,42.592
27,314,2189571,826758,43.151
28,465,552035,567334,41.304
29,912,2494471,969282,44.366
30,804,1278658,606530,40.271
31,232,268499,703846,44.613
32,858,3415009,882185,43.427
33,599,469374,409172,41.695
34,840,1679857,296090,39.711
35,310,3430789,764700,40.055
36,329,2210071,223069,42.951
37,45,1665303,5293,38.285
38,116,2533604,409952,43.246
39,140,1756373,695073,43.277
40,220,2968084,535378,43.501
41,105,238024,369647,41.75
42,438,781955,75767,39.936
43,44,476184,501764,41.625
44,521,3308254,789380,43.257
45,200,1421356,880037,40.657
46,763,1878280,196001,42.543
47,834,504869,36199,45.191
48,496,3414474,39091,37.816
49,256,3383506,130658,38.67
