Dataset,threshold,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,44475,58,119,85,True,True
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,50933,58,120,85,True,False
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,51026,58,120,85,False,False
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,44305,58,119,85,True,True
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,50546,58,120,85,True,False
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,50295,58,120,85,False,False
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,44575,58,119,85,True,True
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,50828,58,120,85,True,False
european union,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5000000,3500000,350,1000000,49948,58,120,85,False,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,146045,41,153,34,True,True
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,134394,41,153,34,True,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,194645,41,172,34,False,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,146165,41,153,34,True,True
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,133205,41,153,34,True,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,208920,41,172,34,False,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,143346,41,153,34,True,True
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,138658,41,153,34,True,False
data.gov,1,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5000000,3500000,350,1000000,204630,41,172,34,False,False
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,48519,263,1314,1314,True,True
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,36207,263,1314,1314,True,False
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,31450,263,1314,1314,False,False
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,35791,263,1314,1314,True,True
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,37261,263,1314,1314,True,False
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,32335,263,1314,1314,False,False
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,36267,263,1314,1314,True,True
Ensembl,1,-1,263,2367,420412,1174863,"[2367, 3390, 4514, 2381, 587]","[5600322, 808416, 421965, 163970, 26636]","[420412, 562300, 421957, 163970, 26636]",5000000,3500000,350,1000000,36439,263,1314,1314,True,False
