Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8392756,25167216,873,601440,48411,"[16611, 3904, 1871, 163, 77, 4]","[5045, 130, 575, 39, 11, 1]","[3075, 288, 380, 76, 29, 5]","[96, 128, 46, 23, 5, 0]",49,104,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",8392756,25167216,873,601440,227410,"[18139, 21369, 49334, 48969, 46433, 21835, 2349]","[2784, 282, 491, 641, 563, 146, 1]","[3123, 146, 89, 102, 97, 31, 7]","[53, 221, 556, 283, 129, 14, 0]",30,103,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],8392756,25167216,873,601440,46599,[22616],[6906],[4696],,20,20,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4906233,18165963,1857,931370,47713,"[15515, 2833, 1983, 167, 87, 4]","[5573, 129, 622, 38, 9, 1]","[3374, 313, 372, 91, 27, 5]","[97, 130, 38, 22, 6, 1]",58,119,85,True,True
data.gov,1.0,7,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",4906233,18165963,1857,931370,164727,"[13676, 14672, 33321, 37392, 30531, 13806, 1698]","[2919, 378, 638, 885, 719, 187, 2]","[2606, 151, 80, 96, 77, 24, 8]","[77, 218, 441, 304, 104, 13, 0]",42,158,34,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],4906233,18165963,1857,931370,42733,[17375],[7910],[4978],,29,29,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13589242,30128227,591,436495,48166,"[15057, 3357, 1894, 169, 79, 4]","[5536, 150, 613, 40, 11, 1]","[3436, 288, 335, 92, 29, 5]","[100, 135, 40, 25, 5, 1]",44,96,85,True,True
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",13589242,30128227,591,436495,221201,"[13876, 16107, 46005, 52959, 47639, 22849, 2704]","[2935, 213, 341, 500, 464, 127, 1]","[2597, 196, 83, 90, 73, 23, 5]","[61, 217, 547, 279, 109, 12, 0]",23,70,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],13589242,30128227,591,436495,52086,[28002],[6716],[4341],,15,15,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4216384,31760758,1757,971483,47119,"[14970, 2932, 1961, 193, 84, 4]","[5410, 121, 578, 39, 9, 1]","[3411, 278, 355, 87, 27, 5]","[93, 145, 43, 26, 5, 1]",62,125,85,True,True
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",4216384,31760758,1757,971483,156538,"[12278, 13267, 29978, 33345, 33536, 11943, 1654]","[3192, 420, 711, 982, 792, 203, 2]","[2646, 137, 73, 93, 74, 23, 7]","[62, 220, 548, 273, 104, 12, 0]",45,172,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],4216384,31760758,1757,971483,41212,[16212],[8083],[4566],,33,33,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6427380,29471301,785,107222,47224,"[14699, 2669, 1847, 179, 90, 4]","[5675, 130, 620, 42, 10, 1]","[3429, 271, 319, 80, 30, 5]","[93, 122, 176, 31, 5, 1]",53,111,85,True,True
data.gov,1.0,10,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",6427380,29471301,785,107222,163522,"[15372, 12884, 30835, 34941, 30159, 18801, 1402]","[3089, 346, 554, 771, 667, 180, 1]","[2458, 227, 80, 82, 68, 24, 5]","[63, 214, 450, 239, 107, 13, 0]",35,125,34,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],6427380,29471301,785,107222,39832,[16079],[7426],[3904],,24,24,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9324882,30107128,132,270783,52903,"[18039, 4328, 1909, 192, 90, 4]","[5548, 139, 637, 40, 9, 1]","[3408, 301, 399, 86, 29, 6]","[97, 132, 50, 26, 4, 1]",47,101,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",9324882,30107128,132,270783,205304,"[17890, 20071, 45848, 46020, 39182, 15683, 1857]","[2743, 270, 464, 646, 568, 152, 1]","[2641, 146, 72, 91, 80, 27, 6]","[54, 236, 525, 324, 134, 18, 0]",29,98,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],9324882,30107128,132,270783,45220,[21383],[7308],[4248],,19,19,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12426519,39005372,208,103543,47708,"[15059, 3496, 1891, 208, 87, 4]","[5502, 133, 604, 44, 9, 1]","[3386, 289, 358, 98, 36, 4]","[91, 121, 50, 28, 6, 0]",44,96,85,True,True
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",12426519,39005372,208,103543,213044,"[21612, 14577, 43684, 48042, 43257, 21285, 2441]","[2711, 237, 406, 535, 493, 128, 1]","[2741, 160, 94, 83, 68, 24, 4]","[57, 221, 458, 241, 103, 16, 0]",24,77,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],12426519,39005372,208,103543,43215,[19753],[6702],[4549],,16,16,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1907249,18443939,196,18882,50796,"[16832, 4176, 1736, 172, 93, 5]","[5470, 132, 534, 37, 10, 1]","[3521, 266, 348, 90, 31, 5]","[101, 126, 191, 25, 14, 0]",95,177,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",1907249,18443939,196,18882,197482,"[15453, 19595, 41476, 45337, 37521, 14963, 1824]","[3346, 683, 1095, 1415, 996, 211, 2]","[2478, 181, 83, 105, 78, 25, 5]","[57, 233, 406, 325, 142, 13, 0]",87,364,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],1907249,18443939,196,18882,48651,[21151],[11067],[4130],,67,67,10,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4644264,13616490,1696,271705,47549,"[15259, 2619, 1959, 169, 83, 4]","[5426, 142, 592, 42, 12, 1]","[3385, 325, 348, 93, 28, 5]","[96, 136, 51, 27, 4, 0]",59,120,85,True,True
