iter,CHUNK_SIZE,MERGE_SIZE,SORT_SIZE,VALIDATION_SIZE,time
0,41708030,721,10571,302333,7.8
1,14684122,94,939438,345561,6.859
2,39682780,540,2101781,685220,6.357
3,20453180,878,146664,670468,7.827
4,41736307,560,710531,198102,6.506
5,80076449,968,1573987,692323,6.597
6,87640151,895,434371,39056,6.187
7,16991344,878,500751,421108,6.116
8,95789374,534,3462467,315516,6.233
9,68653228,835,101259,750145,6.766
10,98886220,749,1409416,789280,6.531
11,10331568,449,4543892,293615,6.313
12,28784656,132,106641,678836,6.75
13,21170695,267,2462950,53363,6.119
14,57416019,148,2950635,699759,681
15,10242420,415,3475057,414180,6.435
16,5004846,537,3322335,514890,6.682
17,94460030,587,4517976,137476,6.266
18,13936242,808,1994407,165355,6.415
19,92751583,349,3756552,725998,6.318
20,781908,164,3549751,764737,6.478
21,44261306,415,2743547,744202,6.766
22,62342335,225,4795882,804685,6.479
23,2130415,808,4824629,702073,6.232
24,36448275,24,770548,971522,6.21
25,99530068,327,4086161,44635,6.167
26,98123317,272,4045837,446560,6.225
27,32494327,637,2008520,751555,6.519
28,30598063,677,2761395,315858,6.462
29,39724481,196,273751,344953,6.478
30,956271,551,818321,477800,6.2
31,33241943,486,2089963,820830,6.198
32,23413367,448,2755047,949183,6.311
33,11795928,551,2462411,145961,6.35
34,26279394,24,845674,641628,6.194
35,19616169,402,2581489,70087,6.579
36,18087044,273,4019668,648039,6.221
37,13379961,509,4446626,567165,6.172
38,15172164,206,3365653,874812,6.234
39,81806014,165,85016,160990,774
40,98601109,709,2916740,746125,6.29
41,89900913,453,2002082,311529,6.369
42,990938,532,862403,397095,6.494
43,87664373,379,371010,164836,6.284
44,16918768,114,461728,308005,6.286
45,39468407,649,792652,417343,6.24
46,21088809,167,2340585,121300,6.425
47,48855018,66,1654887,640181,6.183
48,40559558,16,2046672,787871,6.325
49,65509781,219,3516249,906998,6.333
50,30144500,633,4465488,504120,6.386
51,74020432,984,810404,741123,6.13
52,35972850,508,3626933,520931,6.228
53,48570317,689,3241661,801034,686
54,93070911,913,3777164,689349,6.285
55,39341198,945,3827048,786234,6.342
56,74052636,159,796504,580036,6.304
57,57373428,548,3031443,806730,6.263
58,64498615,127,3400399,256844,6.493
59,42146978,419,4126414,357956,6.443
