iter,CHUNK_SIZE,MERGE_SIZE,SORT_SIZE,VALIDATION_SIZE,time
0,41708030,721,10571,302333,74
1,14684122,94,939438,345561,53.768
2,39682780,540,2101781,685220,59.884
3,20453180,878,146664,670468,49.914
4,41736307,560,710531,198102,56.619
5,80076449,968,1573987,692323,72.504
6,87640151,895,434371,39056,80.553
7,16991344,878,500751,421108,49.768
8,95789374,534,3462467,315516,71.836
9,68653228,835,101259,750145,72.843
10,781908,164,3549751,764737,44.701
11,44261306,415,2743547,744202,59.469
12,62342335,225,4795882,804685,65.12
13,2130415,808,4824629,702073,43.653
14,36448275,24,770548,971522,56.912
15,99530068,327,4086161,44635,70.436
16,98123317,272,4045837,446560,78.84
17,32494327,637,2008520,751555,53.606
18,30598063,677,2761395,315858,56.748
19,39724481,196,273751,344953,55.401
20,956271,551,818321,477800,43.4
21,33241943,486,2089963,820830,55.248
22,23413367,448,2755047,949183,52.499
23,11795928,551,2462411,145961,47.275
24,26279394,24,845674,641628,50.51
25,19616169,402,2581489,70087,51.216
26,18087044,273,4019668,648039,53.89
27,13379961,509,4446626,567165,46.948
28,15172164,206,3365653,874812,56.32
29,81806014,165,85016,160990,77.44
30,98601109,709,2916740,746125,78.839
31,89900913,453,2002082,311529,74.699
32,70173091,385,1349143,489184,67.983
33,99423886,257,3096958,369838,766
34,85103481,783,4511930,93391,69.189
