iter,CHUNK_SIZE,MERGE_SIZE,SORT_SIZE,VALIDATION_SIZE,time
0,41708030,721,10571,302333,79.924
1,14684122,94,939438,345561,48.207
2,39682780,540,2101781,685220,68.771
3,20453180,878,146664,670468,53.642
4,41736307,560,710531,198102,69.981
5,80076449,968,1573987,692323,74.472
6,87640151,895,434371,39056,67.648
7,16991344,878,500751,421108,48.46
8,95789374,534,3462467,315516,67.285
9,68653228,835,101259,750145,73.807
10,98886220,749,1409416,789280,7967
11,10331568,449,4543892,293615,46.578
12,28784656,132,106641,678836,62.837
13,21170695,267,2462950,53363,51.389
14,57416019,148,2950635,699759,77.994
15,781908,164,3549751,764737,42.657
16,44261306,415,2743547,744202,70.485
17,62342335,225,4795882,804685,80.207
18,20548012,927,193472,719355,5965
19,36448275,24,770548,971522,69.61
20,99530068,327,4086161,44635,63.202
21,14586172,531,957815,278699,50.111
22,32494327,637,2008520,751555,7317
23,10339531,918,4466876,379561,45.983
24,14610477,241,1011674,395886,5488
25,765549,444,3499386,965377,43.739
26,936542,486,3435851,766981,42.392
27,23413367,448,2755047,949183,68.196
28,11795928,551,2462411,145961,42.875
29,26279394,24,845674,641628,58.805
30,16911987,960,466874,338651,50.987
31,10324272,897,4511373,276063,41.365
32,13379961,509,4446626,567165,43.239
33,711307,677,3561594,867280,42.432
34,81806014,165,85016,160990,70.442
35,98601109,709,2916740,746125,77.965
36,11858877,23,2378807,230563,41.512
37,898882,472,3623603,844851,40.704
38,924882,260,3603237,752912,41.535
39,11954928,784,2502739,197271,42.992
40,10242420,415,3475057,414180,42.787
41,5004846,537,3322335,514890,39.836
42,94460030,587,4517976,137476,78.256
43,13936242,808,1994407,165355,56.678
44,92751583,349,3756552,725998,76.683
45,39468407,649,792652,417343,67.832
46,826127,344,3548281,895702,42.883
47,48855018,66,1654887,640181,87.514
48,40559558,16,2046672,787871,66.275
49,65509781,219,3516249,906998,6866
50,30144500,633,4465488,504120,59.661
51,74020432,984,810404,741123,69.535
52,5067748,284,3265884,627914,47.91
53,48570317,689,3241661,801034,152.336
54,4886873,953,3393508,552006,42.654
55,39341198,945,3827048,786234,68.304
56,10340020,938,3435164,516765,50.576
57,4902315,754,3399779,447644,45.1
58,797411,43,3435159,839840,46.21
59,21164126,814,2425622,60124,61.342
60,11841223,851,2559684,227060,53.496
61,99031776,645,448173,70620,84.67
62,925057,211,3421865,984216,45.995
63,13474441,396,4374709,552492,54.295
64,38022483,849,2060580,372839,69.704
65,77947844,903,2566931,295234,82.734
66,66355660,459,1948420,81083,67.874
67,5081149,623,3306354,419377,45.389
68,10148169,210,3358752,434211,45.986
69,71983110,288,1237517,175716,69.556
70,827611,904,3648623,952192,45.446
71,10310486,649,3497627,328459,45.625
72,47669747,816,3153108,911423,70.18
73,72018007,574,3297734,991352,70.507
74,15910306,479,2538390,121139,48.473
75,97670458,540,4922280,791890,70.798
76,55890931,201,4018285,81336,64.768
77,79754508,185,1092340,946275,71.946
78,18183337,894,2527669,986251,51.19
79,67919250,829,1645406,379674,69.474
80,79933539,273,3496210,443904,6925
81,40344858,987,3409648,908446,71.672
82,64342685,612,4322883,207121,65.864
83,26241580,615,831383,667785,5836
84,4966718,723,3290269,398398,44.736
